identifiant	tei:title	marc:titre_propre	site:nom	site:prenom	Nom:majuscules	Nom :capitalisés 	Idref:key	Idref:url	site:promotion	benc:pp	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel	Commentaire	benc:volume	benc:autorite?	site:id?	Date d'édition	Promotion	TOME	"COTE Thèse AN 
AB XXVIII "	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état
ENCPOS_1849_05	De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les <abbr>xi<sup>e</sup></abbr>, <abbr>xii<sup>e</sup></abbr> et <abbr>xiii<sup>e</sup></abbr> siècles	De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les xie, xiie et xiiie siècles	Duplès-Agier	Henri	HENRI DUPLÈS-AGIER.	Henri Duplès-Agier.	Duplès-Agier, Henri (1825-1891)	https://www.idref.fr/073413593	1849	9-10	duplesagier	1	1000	1299				1-1847-1865	Duplès-Agier, Henri 	184905		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	3	NC		1000-1299			bon état
ENCPOS_1849_06	De l’état civil et religieux des lépreux en France	De l’état civil et religieux des lépreux en France	Gossin	Léon	LÉON GOSSIN,	Léon Gossin,		ABSENT	1849	11-12	gossin	1	500	1789				1-1847-1865	Gossin,  Léon 	184906		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	4	NC		500-1789			bon état
ENCPOS_1849_07	Le roman de l’<i>Image_du_monde</i>	Le roman de l’Image du monde	Héron De Villefosse	Étienne	E. HÉRON DE VILLEFOSSE.	E. Héron de Villefosse.	"Héron de Villefosse, Étienne
"	https://www.idref.fr/203033477	1849	13	herondevillefosse	1	1246	1399				1-1847-1865	Héron de Villefosse, Étienne 	184907		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	5	NC		1246-1399			bon état
ENCPOS_1849_08	Wala et Louis_le_Débonnaire	Wala et Louis le Débonnaire	Himly	Auguste	AUGUSTE HIMLY,	Auguste Himly,	Himly, Auguste (1823-1906)	https://www.idref.fr/030150086	1849	15-16	himly	1	778	840				1-1847-1865	Himly, Auguste 	184908		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		778-840			bon état
ENCPOS_1849_09	Des armoiries	Des armoiries	Huron	Édouard	E. HURON.	E. Huron.	Huron, Édouard	https://www.idref.fr/194947068	1849	17	huron	1	1100	1499				1-1847-1865	Huron, Édouard 	184909		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		1100-1499			bon état
ENCPOS_1849_10	Examen des œuvres de Virgilius_Maro, le grammairien	Examen des œuvres de Virgilius Maro, le grammairien	Marty-Laveaux	Charles	CH. MARTY-LAVEAUX,	Ch. Marty-Laveaux,	Marty-Laveaux, Charles (1823-1899)	https://www.idref.fr/032166338	1849	19-20	martylaveaux	1	636	709				1-1847-1865	Marty-Laveaux, Charles	184910		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		636-709			bon état
ENCPOS_1849_11	De la négation dans les langues romanes du midi et du nord de la France	De la négation dans les langues romanes du midi et du nord de la France	Schweighæuser	Alfred	ALFRED SCHWEIGHÆUSER,	Alfred Schweighæuser,	Schweighaeuser, Alfred (1823-1876) 	https://www.idref.fr/081799853	1849	21-22	schweighaeuser	1	500	1849				1-1847-1865	Schweighaeuser, Alfred 	184911		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		500-1849			bon état
ENCPOS_1849_12	Des comtes du palais	Des comtes du palais	Tardif	Adolphe	ADOLPHE TARDIF,	Adolphe Tardif,	Tardif, Adolphe (1824-1890)	https://www.idref.fr/032384815	1849	23-24	tardif	1	500	877				1-1847-1865	Tardif, Adolphe	184912		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	6	NC		500-877			bon état
ENCPOS_1850_01	Essai de dictionnaire des anciens peintres français pendant le Moyen_Âge et la Renaissance	Essai de dictionnaire des anciens peintres français pendant le Moyen Âge et la Renaissance	Courde De Montaiglon, De	Anatole	ANATOLE DE COURDE DE MONTAIGLON.	Anatole de Courde de Montaiglon	Montaiglon, Anatole de (1824-1895)	https://www.idref.fr/027035514	1850	1-2	courdedemontaiglon	1	500	1599				1-1847-1865	Courde De Montaiglon, De, Anatole	185004	1850	1847-1850	Promotion 1847-1850		NC		500-1599			bon état
ENCPOS_1850_02	Des enquêteurs et des réformateurs sous la troisième race	Des enquêteurs et des réformateurs sous la troisième race	Duplès-Agier	Théodore-Henri-Léon-Auguste	THÉODORE-HENRI-LÉON-AUGUSTE DUPLES-AGIER.	Théodore-henri-léon-Auguste Duples-Agier	Duplès-Agier, Henri (1825-1891)	https://www.idref.fr/073413593	1850	3-5	duplesagier	1	987	1499				1-1847-1865	Duplès-Agier, Théodore-Henri-Léon-Auguste	185005	1850	1847-1850	Promotion 1847-1850		NC		987-1499			bon état
ENCPOS_1850_03	Ordonnances de l’hôtel des rois de France ou de l’organisation intérieure de la maison des rois  aux <abbr>xiii<sup>e</sup></abbr> et <abbr>xiv<sup>e</sup></abbr> siècles	Ordonnances de l’hôtel des rois de France ou de l’organisation intérieure de la maison des rois  aux xiiie et xive siècles	Garnier	Édouard	ÉDOUARD GARNIER.	Édouard Garnier	Garnier, Édouard (1823-1881)	https://www.idref.fr/056885989	1850	6-7	garnier	1	1200	1399				1-1847-1865	Garnier, Édouard	185006	1850	1847-1850	Promotion 1847-1850		NC		1200-1399			bon état
ENCPOS_1850_04	De la juridiction des archidiacres	De la juridiction des archidiacres	Gréa	Marie-Étienne-Adrien	MARIE-ÉTIENNE-ADRIEN GRÉA.	Marie-étienne-Adrien Gréa	Gréa, Adrien (1828-1917)	 https://www.idref.fr/034366067	1850	8-10	grea	1	500	1789				1-1847-1865	Gréa, Marie-Étienne-Adrien	185007	1850	1847-1850	Promotion 1847-1850		NC		500-1789			bon état
ENCPOS_1850_05	Des appellations en cour de Rome	Des appellations en cour de Rome	Loyseau-Grandmaison	Pierre-Charles-Armand	PIERRE-CHARLES-ARMAND LOYSEAU-GRANDMAISON.	Pierre-charles-Armand Loyseau-Grandmaison		ABSENT	1850	11-12	loyseaugrandmaison	1	500	1499				1-1847-1865	Loyseau-Grandmaison, Pierre-Charles-Armand	185010	1850	1847-1850	Promotion 1847-1850		NC		500-1499			bon état
ENCPOS_1850_06	Des notes tironiennes	Des notes tironiennes	Tardif	Léon-Jules-Amédée	LÉON-JULES-AMÉDÉE TARDIF.	Léon-jules-Amédée Tardif	Tardif, Jules (1827-1882)	 https://www.idref.fr/085466409	1850	13-14	tardif	1	-103	1700				1-1847-1865	Tardif, Léon-Jules-Amédée	185012	1850	1847-1850	Promotion 1847-1850		NC		-103-1700			bon état
ENCPOS_1850_07	De la nature du pouvoir royal en France sous les mérovingiens	De la nature du pouvoir royal en France sous les mérovingiens	Tranchant	Louis-Charles-Marie	LOUIS-CHARLES-MARIE TRANCHANT,	Louis-charles-Marie Tranchant	Tranchant, Charles (1826-1913)	https://www.idref.fr/029779626	1850	15-20	tranchant	1	400	751				1-1847-1865	Tranchant, Louis-Charles-Marie	185013	1850	1848-1851	Promotion 1848-1848	7	NC		400-751			bon état
ENCPOS_1850_08	Recherches sur la minorité et ses effets dans la France coutumière au Moyen Âge	Recherches sur la minorité et ses effets dans la France coutumière au Moyen Âge	Arbois De Jubainville, D’	Marie-Henry			Arbois de Jubainville, Henri d' (1827-1910)	https://www.idref.fr/030069580	1850		arboisdejubainville	1	500	1499					Arbois De Jubainville, D’, Marie-Henry	185001	1850	1848-1851	Promotion 1848-1851		NC		500-1499			bon état
ENCPOS_1850_09	Des asiles religieux dans l’empire romain et en France	Des asiles religieux dans l’empire romain et en France	Beaurepaire, R. De	Charles-Marie			Robillard de Beaurepaire, Charles de (1828-1908) 	https://www.idref.fr/026712881	1850		beaurepaire	1	-500	499					Beaurepaire, R. De, Charles-Marie	185002	1850	1848-1851	Promotion 1848-1850		NC		-500-499			bon état
ENCPOS_1850_10	Histoire des <i>Missi_dominici</i>	Histoire des Missi dominici	Charronnet	Charles			 Charronnet, Charles 	https://www.idref.fr/055825796	1850		charronnet	1	789	999					Charronnet, Charles	185003	1850	1848-1851	Promotion 1848-1849		NC		789-999			bon état
ENCPOS_1850_11	Pépin_II, roi d’Aquitaine	Pépin II roi d’Aquitaine	Jacobs	Alfred			 Jacobs, Alfred (1827-1870) 	https://www.idref.fr/073649821	1850		jacobs	1	820	870					Jacobs, Alfred	185008	1850	1848-1851	Promotion 1848-1847		NC		820-870			bon état
ENCPOS_1850_12	Des réformes du droit_civil demandées par le tiers ordre des états généraux de 1614 (1302-1614)	Des réformes du droit civil demandées par le tiers ordre des états généraux de 1614 (1302-1614)	Jolly	François-Eugène				ABSENT	1850		jolly	1	1302	1614					Jolly, François-Eugène	185009	1850	1848-1851	Promotion 1848-1846		NC		1302-1614			bon état
ENCPOS_1850_13	Biographie de Jean_II_de_Montagu, surintendant des finances et grand maître de l’hôtel du roi Charles_VI  (1388-1409)	Biographie de Jean II de Montagu, surintendant des finances et grand maître de l’hôtel du roi Charles VI  (1388-1409)	Merlet	Lucien-Hestor-Claude			Merlet, Lucien (1827-1898)	https://www.idref.fr/027024431	1850		merlet	1	1388	1409					Merlet, Lucien-Hestor-Claude	185011	1850	1848-1851	Promotion 1848-1845		NC		1388-1409			bon état
ENCPOS_1850_PREV		pages liminaires							1850	0								1-1847-1865												
ENCPOS_1851_01	Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen_Âge	Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen Âge	Lecaron	Frédéric-Natalis	FRÉDÉRIC-NATALIS LECARON	Frédéric-Natalis Lecaron		ABSENT	1851	3-4	lecaron	1	1000	1499				1-1847-1865	Lecaron, Frédéric-Natalis	185103	1851	1848-1851	Promotion 1848-1851		NC		1000-1499			bon état
ENCPOS_1851_02	Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et  de Toulouse (1249-1271)	Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et de Toulouse (1249-1271)	Boutaric 	Paul-Edgard	PAUL-EDGARD BOUTARIC	Paul-Edgard Boutaric	Boutaric, Edgard (1829-1877)	https://www.idref.fr/032705832	1851	5-6	boutaric	1	1249	1271				1-1847-1865	Boutaric , Paul-Edgard	185101	1851	1848-1851	Promotion 1848-1851		NC		1249-1271			bon état
ENCPOS_1851_03	Notice historique sur la secte des Cornificiens (XII<sup>e</sup> siècle)	Notice historique sur la secte des Cornificiens (xiie siècle)	Charronnet	Charles	CHARLES CHARRONNET	Charles Charronnet	Charronnet, Charles	https://www.idref.fr/055825796	1851	7-8	charronnet	1	1100	1199				1-1847-1865	Charronnet, Charles	185102	1851	1848-1851	Promotion 1848-1851		NC		1100-1199			bon état
ENCPOS_1851_PREV		pages liminaires							1851	0-2								1-1847-1865												
ENCPOS_1852_01	De la paroisse rurale en Bretagne au <abbr>ix<sup>e</sup></abbr> siècle. Du prince de paroisse, <i>machtyern</i> ou <i>princeps_plebis</i>.	De la paroisse rurale en Bretagne au ixe siècle. Du prince de paroisse, Machtyern  ou Princeps plebis	La Borderie, De	Louis-Arthur	LOUIS-ARTHUR » E LABORDERIE	Louis-Arthur » E Laborderie	La Borderie, Arthur Le Moyne de (1827-1901)	 https://www.idref.fr/026955784	1852	3-4	laborderie	1	800	899				1-1847-1865	La Borderie, De, Louis-Arthur	185206	1852	1849-1852	Promotion 1849-1852		NC		800-899			bon état
ENCPOS_1852_02	Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985	Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985	Auger	Ernest-Édouard	ERNEST-ÉDOUARD AUGER	Ernest-Édouard Auger	 Auger, Ernest-Edouard 	https://www.idref.fr/193866102	1852	5-6	auger	1	-500	985				1-1847-1865	Auger, Ernest-Édouard	185201	1852	1849-1852	Promotion 1849-1852		NC		-500-985			bon état
ENCPOS_1852_03	De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain	De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain	Passy	Louis	LOUIS PASSY	Louis Passy		ABSENT	1852	7-8	passy	1	-500	800				1-1847-1865	Passy, Louis	185208	1852	1849-1852	Promotion 1849-1852		NC		-500-800			bon état
ENCPOS_1852_04	Notice sur le <i>Roman_de_la_Rose</i>	Notice sur le Roman de la Rose	Pécantin	Charles-François	CHARLES-FRANÇOIS PÉCANTIN	Charles-François Pécantin		ABSENT	1852	9-10	pecantin	1	1237	1280				1-1847-1865	Pécantin, Charles-François	185209	1852	1849-1852	Promotion 1849-1852		NC		1237-1280			bon état
ENCPOS_1852_05	Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le <abbr>xi<sup>e</sup></abbr> siècle	Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le xie siècle	Mabille	Louis-Émile	LOUIS-ÉMILE MABILLE	Louis-Émile Mabille		ABSENT	1852	11-13	mabille	1	-500	1000				1-1847-1865	Mabille, Louis-Émile	185207	1852	1849-1852	Promotion 1849-1852		NC		-500-1000			bon état
ENCPOS_1852_06	Traduction du poème d’Adalbéron, évêque de Laon	Traduction du poème d’Adalbéron, évêque de Laon	Baudoin	Adolphe	ADOLPHE BAUDOUIN	Adolphe Baudouin		ABSENT	1852	15-16	baudoin	1	977	1030				1-1847-1865	Baudoin, Adolphe	185202	1852	1849-1852	Promotion 1849-1852		NC		977-1030			bon état
ENCPOS_1852_07	Essai sur le commerce maritime de Narbonne	Essai sur le commerce maritime de Narbonne	Port	Célestin	CÉLESTIN PORT	Célestin Port	Port, Célestin (1828-1901)		1852	17-19	port	1	-500	1852				1-1847-1865	Port, Célestin	185210	1852	1849-1852	Promotion 1849-1852		NC		-500-1852			bon état
ENCPOS_1852_08	Étude sur les verbes français	Étude sur les verbes français	Chazaud	Alphonse-Martial	ALPHONSE-MARTIAL CHAZAUD	Alphonse-Martial Chazaud	Chazaud, Martial-Alphonse (1827-1880)	https://www.idref.fr/097857998	1852	21-22	chazaud	1	800	1850				1-1847-1865	Chazaud, Alphonse-Martial	185203	1852	1849-1852	Promotion 1849-1852		NC		800-1850			bon état
ENCPOS_1852_09	Recherches sur le Châtelet de Paris	Recherches sur le Châtelet de Paris	Dupont	Edmond-Louis	EDMOND-LOUIS DUPONT	Edmond-Louis Dupont	Dupont, Edmond (1827-1886)	 https://www.idref.fr/136343767	1852	23-26	dupont	1	500	1850				1-1847-1865	Dupont, Edmond-Louis	185205	1852	1849-1852	Promotion 1849-1852		NC		500-1850			bon état
ENCPOS_1852_10	Essai sur la grande chancellerie au <abbr>xiv<sup>e</sup></abbr> siècle	Essai sur la grande chancellerie au xiv siècle	Cocheris	Hippolyte-François-Jules-Marie	HIPPOLYTE-PRANÇOIS-JULES-MARIE COCHERIS	Hippolyte-prançois-jules-Marie Cocheris	Cocheris, Hippolyte (1829-1882)	https://www.idref.fr/030008263	1852	27-28	cocheris	1	1300	1399				1-1847-1865	Cocheris, Hippolyte-François-Jules-Marie	185204	1852	1849-1852	Promotion 1849-1852		NC		1300-1399			bon état
ENCPOS_1852_PREV		pages liminaires							1852	0-2								1-1847-1865												
ENCPOS_1853_01	Étude historique sur l’inquisition dans le midi de la France (1285 à 1328)	Étude historique sur l’inquisition dans le midi de la France (1285 à 1328)	Garin	Auguste	AUGUSTE GARIN.	Auguste Garin		ABSENT	1853	3-4	garin	1	1285	1328				1-1847-1865	Garin, Auguste	185303	1853	1850-1853	Promotion 1850-1853		NC		1285-1328			bon état
ENCPOS_1853_02	Élection et couronnement du pape Jean_XXII	Élection et couronnement du pape Jean XXII	Bertrandy	Martin	MARTIN BERTRANDY.	Martin Bertrandy	Bertrandy-Lacabane, Martin (1827-1888)	https://www.idref.fr/033580790	1853	5-8	bertrandy	1	1316	1316				1-1847-1865	Bertrandy, Martin	185301	1853	1850-1853	Promotion 1850-1853		NC		1316-1316			bon état
ENCPOS_1853_03	Étude sur le développement des juridictions ecclésiastiques du <abbr>ix<sup>e</sup></abbr> au <abbr>xiv<sup>e</sup></abbr> siècle et sur l’origine de l’appel comme d’abus	Étude sur le développement des juridictions ecclésiastiques du ixe au xive siècle et sur l’origine de l’appel comme d’abus	Chambrun, De	Charles-Adolphe	C. A. DE CHAMBRUN.	C. A. de Chambrun	Chambrun, Adolphe de (1831-1891)	https://www.idref.fr/026776995	1853	9-10	chambrun	1	800	1399				1-1847-1865	Chambrun, De, Charles-Adolphe	185302	1853	1850-1853	Promotion 1850-1853		NC		800-1399			bon état
ENCPOS_1853_04	Essai sur la procédure canonique depuis l’établissement du christianisme jusqu’aux Décrétales	Essai sur la procédure canonique depuis l’établissement du christianisme jusqu’aux Décrétales	Grégoire	Ernest	ERNEST GRÉGOIRE.	Ernest Grégoire		ABSENT	1853	11-12	gregoire	1	0	550				1-1847-1865	Grégoire, Ernest	185306	1853	1850-1853	Promotion 1850-1853		NC		0-550			bon état
ENCPOS_1853_05	Essai sur la trêve de Dieu	Essai sur la trêve de Dieu	Gastines, De	Léonce	LÉONCE DE GASTINES.	Léonce de Gastines		ABSENT	1853	13-14	gastines	1	989	1299				1-1847-1865	Gastines, De, Léonce	185304	1853	1850-1853	Promotion 1850-1853		NC		989-1299			bon état
ENCPOS_1853_06	Du <i>Mundium</i>	Du Mundium	Giraud	Alfred	ALFRED GIRAUD,	Alfred Giraud	 Giraud, Alfred 	https://www.idref.fr/156554208	1853	15-16	giraud	1	100	750				1-1847-1865	Giraud, Alfred	185305	1853	1850-1853	Promotion 1850-1853		NC		100-750			bon état
ENCPOS_1853_PREV		pages liminaires							1853	0-2								1-1847-1865												
ENCPOS_1854_01	Recherches historiques sur la maison de Saint-Lazare de Paris	Recherches historiques sur la maison de Saint-Lazare de Paris	Boullé	Jules	JULES BOULLÉ	Jules Boullé		ABSENT	1854	3-4	boulle	1	500	1850				1-1847-1865	Boullé, Jules	185401	1854	1851-1854	Promotion 1851-1854		NC		500-1850			bon état
ENCPOS_1854_02	Du pouvoir législatif en France	Du pouvoir législatif en France	Casati	Charles	CHARLES CASATI	Charles Casati	Casati, Claude-Marie-Charles (1833-1919)	https://www.idref.fr/057122490	1854	5-7	casati	1	500	1850				1-1847-1865	Casati, Charles	185402	1854	1851-1854	Promotion 1851-1854		NC		500-1850			bon état
ENCPOS_1854_03	Essai sur la géographie territoriale et politique de l’Auvergne aux <abbr>ix<sup>e</sup></abbr> et <abbr>x<sup>e</sup></abbr> siècles	Essai sur la géographie territoriale et politique de l’Auvergne aux ixe et xe siècles	Chassaing	Jean-Baptiste-François-Augustin	JEAN-BAPTISTE-FRANÇOIS-AUGUSTIN CHASSAING	Jean-baptiste-françois-Augustin Chassaing		ABSENT	1854	9-12	chassaing	1	800	999				1-1847-1865	Chassaing, Jean-Baptiste-François-Augustin	185403	1854	1851-1854	Promotion 1851-1854		NC		800-999			bon état
ENCPOS_1854_04	Étude sur les mots à multiples formes dans la langue française	Étude sur les mots à multiples formes dans la langue française	Gros-Burdet	Jean-Édouard	JEAN-EDOUARD GROS-BURDET	Jean-Edouard Gros-Burdet		ABSENT	1854	13-15	grosburdet	1	800	1850				1-1847-1865	Gros-Burdet, Jean-Édouard	185404	1854	1851-1854	Promotion 1851-1854		NC		800-1850			bon état
ENCPOS_1854_05	De l’institution des baillis sous saint_Louis et sous Philippe_III d’après les <i>Olim</i> (1254-1285)	De l’institution des baillis sous saint Louis et sous Philippe III d’après les Olim (1254-1285)	Laborde	Théodore	THÉODORE LARORDE	Théodore Larorde		ABSENT	1854	17-19	laborde	1	1254	1285				1-1847-1865	Laborde, Théodore	185405	1854	1851-1854	Promotion 1851-1854		NC		1254-1285			bon état
ENCPOS_1854_06	Essai sur l’état des personnes en Angleterre au <abbr>xi<sup>e</sup></abbr> siècle à la suite de la conquête normande, d’après les documents originaux et principalement le <i>Domesday-Book,</i> précédé de l’histoire de ce livre	Essai sur l’état des personnes en Angleterre au xie siècle à la suite de la conquête normande, d’après les documents originaux et principalement le Domesday-Book précédé de l’histoire de ce livre	Lacour	Louis	LOUIS LACOUR	Louis Lacour	La Pijardière, Louis Lacour de (1832-1892)	https://www.idref.fr/026956497	1854	21-22	lacour	1	1066	1099				1-1847-1865	Lacour, Louis	185406	1854	1851-1854	Promotion 1851-1854		NC		1066-1099			bon état
ENCPOS_1854_07	Des sépultures chrétiennes en France du <abbr>xi<sup>e</sup></abbr> au <abbr>xvi<sup>e</sup></abbr> siècle	Des sépultures chrétiennes en France du xie au xvie siècle	Murcier	Arthur	ARTHUR MURCIER	Arthur Murcier	Murcier, Arthur	https://www.idref.fr/165057203	1854	23-26	murcier	1	1000	1599				1-1847-1865	Murcier, Arthur	185407	1854	1851-1854	Promotion 1851-1854		NC		1000-1599			bon état
ENCPOS_1854_08	Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613	Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613	Rocquain De Courtemblay	Félix	FÉLIX ROCQUAIN DE COURTEMBLAY	Félix Rocquain de Courtemblay	Rocquain, Félix (1833-1925)	https://www.idref.fr/034080872	1854	27-28	rocquaindecourtemblay	1	-50	613				1-1847-1865	Rocquain De Courtemblay, Félix	185408	1854	1851-1854	Promotion 1851-1854		NC		-50-613			bon état
ENCPOS_1854_09	De l’administration des communes au nord de la France vers 1260	De l’administration des communes au nord de la France vers 1260	Servois	Gustave	GUSTAVE SERVOIS	Gustave Servois	Servois, Gustave (1829-1927)	https://www.idref.fr/034770526	1854	29-30	servois	1	1250	1270				1-1847-1865	Servois, Gustave	185409	1854	1851-1854	Promotion 1851-1854		NC		1250-1270			bon état
ENCPOS_1854_PREV		pages liminaires							1854	0-2								1-1847-1865												
ENCPOS_1855_01	De l’aveu de la partie et de la preuve testimoniale sous la première race	De l’aveu de la partie et de la preuve testimoniale sous la première race	Barberaud	Guillaume-Charles	GUILLAUME CHARLES BARBERAUD	Guillaume Charles Barberaud		ABSENT	1855	3-5	barberaud	1	496	750				1-1847-1865	Barberaud, Guillaume-Charles	185501	1855	1852-1855	Promotion 1852-1855		NC		496-750			bon état
ENCPOS_1855_02	Essais sur l’origine de la commune de Besançon	Essais sur l’origine de la commune de Besançon	Castan	Auguste	AUGUSTE CASTAN	Auguste Castan	Castan, Auguste (1833-1892)	https://www.idref.fr/026771152	1855	7-11	castan	1	-500	1499				1-1847-1865	Castan, Auguste	185502	1855	1852-1855	Promotion 1852-1855		NC		-500-1499			bon état
ENCPOS_1855_03	Rivalité des évêques et des comtes dans la province ecclésiastique de Sens, depuis le <abbr>x<sup>e</sup></abbr> jusqu’au <abbr>xiii<sup>e</sup></abbr> siècle	Rivalité des évêques et des comtes dans la province ecclésiastique de Sens, depuis le xe jusqu’au xiiie siècle	Delore	Félix Éloi	FÉLIX ÉLOI DELORE	Félix Éloi Delore		ABSENT	1855	13-14	delore	1	900	1299				1-1847-1865	Delore, Félix Éloi	185503	1855	1852-1855	Promotion 1852-1855		NC		900-1299			bon état
ENCPOS_1855_04	Essai sur la poésie liturgique au Moyen_Âge : proses, tropes, offices rimés, suivi d’une histoire de la versification latine à la même époque	Essai sur la poésie liturgique au Moyen Âge : proses, tropes, offices rimés, suivi d’une histoire de la versification latine à la même époque	Gautier	Émile-Léon	ÉMILE LÉON GAUTIER	Émile Léon Gautier	Gautier, Léon (1832-1897)	https://www.idref.fr/029659434	1855	15-22	gautier	1	500	1499				1-1847-1865	Gautier, Émile-Léon	185504	1855	1852-1855	Promotion 1852-1855		NC		500-1499			bon état
ENCPOS_1855_05	De l’état du commerce et de l’industrie à Amiens du <abbr>xii<sup>e</sup></abbr> au <abbr>xvi<sup>e</sup></abbr> siècle	De l’état du commerce et de l’industrie à Amiens du xiie au xvie siècle	Hiélard	Charles-Léon	CHARLES-LÉON HIÉLARD	Charles-Léon Hiélard		ABSENT	1855	23-26	hielard	1	1100	1599				1-1847-1865	Hiélard, Charles-Léon	185505	1855	1852-1855	Promotion 1852-1855		NC		1100-1599			bon état
