id	title_rich	title_text	author_name	author_firstname	NomComplet	author_idref-id	promotion_year	pagination	author_gender	topic_notBefore	topic_notAfter	enc_teacher	these_biblionumber-benc	these_ppn-sudoc	ark_databnf	ark_cataloguebnf	id_wikidata	link_wikipedia	id_dbpedia
ENCPOS_1849_04	Essai sur les revenus publics en Normandie au <small>XII</small><sup>e</sup> siècle	Essai sur les revenus publics en Normandie au xiie siècle	Delisle	Léopold	Léopold Delisle	026820897	1849	7-8	1	1100	1199				http://data.bnf.fr/ark:/12148/cb11899357h	https://catalogue.bnf.fr/ark:/12148/cb11899357h	http://wikidata.org/entity/Q481453	http://fr.wikipedia.org/wiki/L%C3%A9opold_Delisle	http://dbpedia.org/resource/Léopold_Victor_Delisle
ENCPOS_1849_05	De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les <small>XI</small><sup>e</sup>, <small>XII</small><sup>e</sup> et <small>XIII</small><sup>e</sup> siècles	De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les xie, xiie et xiiie siècles	Duplès-Agier	Henri	Henri Duplès-Agier	073413593	1849	9-10	1	1000	1299				http://data.bnf.fr/ark:/12148/cb144747493	https://catalogue.bnf.fr/ark:/12148/cb144747493	http://wikidata.org/entity/Q33879393		
ENCPOS_1849_06	De l’état civil et religieux des lépreux en France	De l’état civil et religieux des lépreux en France	Gossin	Léon	Léon Gossin	242854192	1849	11-12	1	500	1789								
ENCPOS_1849_07	Le roman de l’<i>Image du monde</i>	Le roman de l’Image du monde	Héron De Villefosse	Étienne	Étienne Héron De Villefosse	203033477	1849	13	1	1246	1399				http://data.bnf.fr/ark:/12148/cb10730552m	https://catalogue.bnf.fr/ark:/12148/cb10730552m			
ENCPOS_1849_08	Wala et Louis le Débonnaire	Wala et Louis le Débonnaire	Himly	Auguste	Auguste Himly	030150086	1849	15-16	1	778	840				http://data.bnf.fr/ark:/12148/cb121623810	https://catalogue.bnf.fr/ark:/12148/cb121623810	http://wikidata.org/entity/Q2871228	http://fr.wikipedia.org/wiki/Auguste_Himly	http://dbpedia.org/resource/Auguste_Himly
ENCPOS_1849_09	Des armoiries	Des armoiries	Huron	Édouard	Édouard Huron	194947068	1849	17	1	1100	1499								
ENCPOS_1849_10	Examen des œuvres de Virgilius Maro, le grammairien	Examen des œuvres de Virgilius Maro, le grammairien	Marty-Laveaux	Charles	Charles Marty-Laveaux	032166338	1849	19-20	1	636	709				http://data.bnf.fr/ark:/12148/cb123250028	https://catalogue.bnf.fr/ark:/12148/cb123250028	http://wikidata.org/entity/Q2959766	http://fr.wikipedia.org/wiki/Charles_Marty-Laveaux	http://dbpedia.org/resource/Charles_Joseph_Marty-Laveaux
ENCPOS_1849_11	De la négation dans les langues romanes du midi et du nord de la France	De la négation dans les langues romanes du midi et du nord de la France	Schweighæuser	Alfred	Alfred Schweighæuser	081799853	1849	21-22	1	500	1849				http://data.bnf.fr/ark:/12148/cb105765020	https://catalogue.bnf.fr/ark:/12148/cb105765020	http://wikidata.org/entity/Q34011476		
ENCPOS_1849_12	Des comtes du palais	Des comtes du palais	Tardif	Adolphe	Adolphe Tardif	032384815	1849	23-24	1	500	877				http://data.bnf.fr/ark:/12148/cb123424816	https://catalogue.bnf.fr/ark:/12148/cb123424816	http://wikidata.org/entity/Q2824916	http://fr.wikipedia.org/wiki/Adolphe_Tardif	
ENCPOS_1850_01	Essai de dictionnaire des anciens peintres français pendant le Moyen Âge et la Renaissance	Essai de dictionnaire des anciens peintres français pendant le Moyen Âge et la Renaissance	Courde De Montaiglon, De	Anatole	Anatole de Courde de Montaiglon	027035514	1850	1-2	1	500	1599				http://data.bnf.fr/ark:/12148/cb11916596r	https://catalogue.bnf.fr/ark:/12148/cb11916596r	http://wikidata.org/entity/Q2845613	http://fr.wikipedia.org/wiki/Anatole_de_Montaiglon	http://dbpedia.org/resource/Anatole_de_Montaiglon
ENCPOS_1850_02	Des enquêteurs et des réformateurs sous la troisième race	Des enquêteurs et des réformateurs sous la troisième race	Duplès-Agier	Théodore-Henri-Léon-Auguste	Théodore-Henri-Léon-Auguste Duplès-Agier	073413593	1850	3-5	1	987	1499				http://data.bnf.fr/ark:/12148/cb144747493	https://catalogue.bnf.fr/ark:/12148/cb144747493	http://wikidata.org/entity/Q33879393		
ENCPOS_1850_03	Ordonnances de l’hôtel des rois de France ou de l’organisation intérieure de la maison des rois aux <small>XIII</small><sup>e</sup> et <small>XIV</small><sup>e</sup> siècles	Ordonnances de l’hôtel des rois de France ou de l’organisation intérieure de la maison des rois  aux xiiie et xive siècles	Garnier	Édouard	Édouard Garnier	056885989	1850	6-7	1	1200	1399				http://data.bnf.fr/ark:/12148/cb105252931	https://catalogue.bnf.fr/ark:/12148/cb105252931	http://wikidata.org/entity/Q34329658		
ENCPOS_1850_04	De la juridiction des archidiacres	De la juridiction des archidiacres	Gréa	Marie-Étienne-Adrien	Marie-Étienne-Adrien Gréa	034366067	1850	8-10	1	500	1789				http://data.bnf.fr/ark:/12148/cb125128931	https://catalogue.bnf.fr/ark:/12148/cb125128931	http://wikidata.org/entity/Q3034329	http://fr.wikipedia.org/wiki/Adrien_Gr%C3%A9a	
ENCPOS_1850_05	Des appellations en cour de Rome	Des appellations en cour de Rome	Loyseau-Grandmaison	Pierre-Charles-Armand	Pierre-Charles-Armand Loyseau-Grandmaison	253411114	1850	11-12	1	500	1499								
ENCPOS_1850_06	Des notes tironiennes	Des notes tironiennes	Tardif	Léon-Jules-Amédée	Léon-Jules-Amédée Tardif	085466409	1850	13-14	1	-103	1700				http://data.bnf.fr/ark:/12148/cb11926030n	https://catalogue.bnf.fr/ark:/12148/cb11926030n	http://wikidata.org/entity/Q55772188		
ENCPOS_1850_07	De la nature du pouvoir royal en France sous les mérovingiens	De la nature du pouvoir royal en France sous les mérovingiens	Tranchant	Louis-Charles-Marie	Louis-Charles-Marie Tranchant	029779626	1850	15-20	1	400	751				http://data.bnf.fr/ark:/12148/cb12133109b	https://catalogue.bnf.fr/ark:/12148/cb12133109b	http://wikidata.org/entity/Q16916470	http://fr.wikipedia.org/wiki/Charles_Tranchant	
ENCPOS_1850_08	Recherches sur la minorité et ses effets dans la France coutumière au Moyen Âge	Recherches sur la minorité et ses effets dans la France coutumière au Moyen Âge	Arbois De Jubainville, D’	Marie-Henry	Henry d’Arbois de Jubainville	030069580	1850		1	500	1499				http://data.bnf.fr/ark:/12148/cb121559788	https://catalogue.bnf.fr/ark:/12148/cb121559788	http://wikidata.org/entity/Q978749	http://fr.wikipedia.org/wiki/Henri_d%27Arbois_de_Jubainville	http://dbpedia.org/resource/Marie_Henri_d'Arbois_de_Jubainville
ENCPOS_1850_09	Des asiles religieux dans l’empire romain et en France	Des asiles religieux dans l’empire romain et en France	Beaurepaire, R. De	Charles-Marie	Charles de Robillard de Beaurepaire	026712881	1850		1	-500	499				http://data.bnf.fr/ark:/12148/cb11890836r	https://catalogue.bnf.fr/ark:/12148/cb11890836r	http://wikidata.org/entity/Q2960683	http://fr.wikipedia.org/wiki/Charles_de_Beaurepaire	
ENCPOS_1850_10	Histoire des <i>Missi dominici</i>	Histoire des Missi dominici	Charronnet	Charles	Charles Charronnet	055825796	1850		1	789	999				http://data.bnf.fr/ark:/12148/cb13611999f	https://catalogue.bnf.fr/ark:/12148/cb13611999f	http://wikidata.org/entity/Q34329171		
ENCPOS_1850_11	Pépin II, roi d’Aquitaine	Pépin II roi d’Aquitaine	Jacobs	Alfred	Alfred Jacobs	073649821	1850		1	820	870				http://data.bnf.fr/ark:/12148/cb16072078v	https://catalogue.bnf.fr/ark:/12148/cb16072078v	http://wikidata.org/entity/Q18115229		
ENCPOS_1850_12	Des réformes du droit civil demandées par le tiers ordre des états généraux de 1614 (1302-1614)	Des réformes du droit civil demandées par le tiers ordre des états généraux de 1614 (1302-1614)	Jolly	François-Eugène	François-Eugène Jolly	253411122	1850		1	1302	1614								
ENCPOS_1850_13	Biographie de Jean II de Montagu, surintendant des finances et grand maître de l’hôtel du roi Charles VI (1388-1409)	Biographie de Jean II de Montagu, surintendant des finances et grand maître de l’hôtel du roi Charles VI  (1388-1409)	Merlet	Lucien-Hestor-Claude	Lucien-Hestor-Claude Merlet	027024431	1850		1	1388	1409				http://data.bnf.fr/ark:/12148/cb11915693r	https://catalogue.bnf.fr/ark:/12148/cb11915693r	http://wikidata.org/entity/Q18115478	http://fr.wikipedia.org/wiki/Lucien_Merlet	
ENCPOS_1850_PREV		pages liminaires					1850	0											
ENCPOS_1851_01	Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen Âge	Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen Âge	Lecaron	Frédéric-Natalis	Frédéric-Natalis Lecaron	253411130	1851	3-4	1	1000	1499								
ENCPOS_1851_02	Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et de Toulouse (1249-1271)	Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et de Toulouse (1249-1271)	Boutaric	Paul-Edgard	Paul-Edgard Boutaric	032705832	1851	5-6	1	1249	1271				http://data.bnf.fr/ark:/12148/cb12368468v	https://catalogue.bnf.fr/ark:/12148/cb12368468v	http://wikidata.org/entity/Q3047520	http://fr.wikipedia.org/wiki/Edgard_Boutaric	
ENCPOS_1851_03	Notice historique sur la secte des Cornificiens (<small>XII</small><sup>e</sup> siècle)	Notice historique sur la secte des Cornificiens (xiie siècle)	Charronnet	Charles	Charles Charronnet	055825796	1851	7-8	1	1100	1199				http://data.bnf.fr/ark:/12148/cb13611999f	https://catalogue.bnf.fr/ark:/12148/cb13611999f	http://wikidata.org/entity/Q34329171		
ENCPOS_1851_PREV		pages liminaires					1851	0-2											
ENCPOS_1852_01	De la paroisse rurale en Bretagne au <small>IX</small><sup>e</sup> siècle. Du prince de paroisse, <i>machtyern</i> ou <i>princeps plebis</i>.	De la paroisse rurale en Bretagne au ixe siècle. Du prince de paroisse, Machtyern  ou Princeps plebis	La Borderie, De	Louis-Arthur	Louis-Arthur Le Moyne de La Borderie	026955784	1852	3-4	1	800	899				http://data.bnf.fr/ark:/12148/cb11910242j	https://catalogue.bnf.fr/ark:/12148/cb11910242j	http://wikidata.org/entity/Q199985	http://fr.wikipedia.org/wiki/Arthur_de_La_Borderie	http://dbpedia.org/resource/Arthur_Le_Moyne_de_La_Borderie
ENCPOS_1852_02	Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985	Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985	Auger	Ernest-Édouard	Ernest-Édouard Auger	193866102	1852	5-6	1	-500	985								
ENCPOS_1852_03	De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain	De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain	Passy	Louis	Louis Passy	033574723	1852	7-8	1	-500	800				http://data.bnf.fr/ark:/12148/cb12992741v	https://catalogue.bnf.fr/ark:/12148/cb12992741v	http://wikidata.org/entity/Q3262846	http://fr.wikipedia.org/wiki/Louis_Passy	
ENCPOS_1852_04	Notice sur le <i>Roman de la Rose</i>	Notice sur le Roman de la Rose	Pécantin	Charles-François	Charles-François Pécantin	253411149	1852	9-10	1	1237	1280								
ENCPOS_1852_05	Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le <small>XI</small><sup>e</sup> siècle	Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le xie siècle	Mabille	Louis-Émile	Louis-Émile Mabille	253411157	1852	11-13	1	-500	1000								
ENCPOS_1852_06	Traduction du poème d’Adalbéron, évêque de Laon	Traduction du poème d’Adalbéron, évêque de Laon	Baudoin	Adolphe	Adolphe Baudoin	253411165	1852	15-16	1	977	1030								
ENCPOS_1852_07	Essai sur le commerce maritime de Narbonne	Essai sur le commerce maritime de Narbonne	Port	Célestin	Célestin Port	027079740	1852	17-19	1	-500	1852				http://data.bnf.fr/ark:/12148/cb11920343c	https://catalogue.bnf.fr/ark:/12148/cb11920343c	http://wikidata.org/entity/Q3010095	http://fr.wikipedia.org/wiki/C%C3%A9lestin_Port	http://dbpedia.org/resource/Célestin_Port
ENCPOS_1852_08	Étude sur les verbes français	Étude sur les verbes français	Chazaud	Alphonse-Martial	Alphonse-Martial Chazaud	097857998	1852	21-22	1	800	1850				http://data.bnf.fr/ark:/12148/cb13009970d	https://catalogue.bnf.fr/ark:/12148/cb13009970d	http://wikidata.org/entity/Q21656192		
ENCPOS_1852_09	Recherches sur le Châtelet de Paris	Recherches sur le Châtelet de Paris	Dupont	Edmond-Louis	Edmond-Louis Dupont	136343767	1852	23-26	1	500	1850				http://data.bnf.fr/ark:/12148/cb10733029f	https://catalogue.bnf.fr/ark:/12148/cb10733029f	http://wikidata.org/entity/Q34332429		
ENCPOS_1852_10	Essai sur la grande chancellerie au <small>XIV</small><sup>e</sup> siècle	Essai sur la grande chancellerie au xiv siècle	Cocheris	Hippolyte-François-Jules-Marie	Hippolyte-François-Jules-Marie Cocheris	030008263	1852	27-28	1	1300	1399				http://data.bnf.fr/ark:/12148/cb121513163	https://catalogue.bnf.fr/ark:/12148/cb121513163	http://wikidata.org/entity/Q18509073	http://fr.wikipedia.org/wiki/Hippolyte_Cocheris	
ENCPOS_1852_PREV		pages liminaires					1852	0-2											
ENCPOS_1853_01	Étude historique sur l’inquisition dans le midi de la France (1285 à 1328)	Étude historique sur l’inquisition dans le midi de la France (1285 à 1328)	Garin	Auguste	Auguste Garin	253411173	1853	3-4	1	1285	1328								
ENCPOS_1853_02	Élection et couronnement du pape Jean XXII	Élection et couronnement du pape Jean XXII	Bertrandy	Martin	Martin Bertrandy	033580790	1853	5-8	1	1316	1316				http://data.bnf.fr/ark:/12148/cb129946819	https://catalogue.bnf.fr/ark:/12148/cb129946819	http://wikidata.org/entity/Q34333743		
ENCPOS_1853_03	Étude sur le développement des juridictions ecclésiastiques du <small>IX</small><sup>e</sup> au <small>XIV</small><sup>e</sup> siècle et sur l’origine de l’appel comme d’abus	Étude sur le développement des juridictions ecclésiastiques du ixe au xive siècle et sur l’origine de l’appel comme d’abus	Chambrun, De	Charles-Adolphe	Charles-Adolphe de Chambrun	026776995	1853	9-10	1	800	1399				http://data.bnf.fr/ark:/12148/cb12595926j	https://catalogue.bnf.fr/ark:/12148/cb12595926j	http://wikidata.org/entity/Q1888785	http://fr.wikipedia.org/wiki/Adolphe_de_Chambrun	http://dbpedia.org/resource/Adolphe_de_Chambrun
ENCPOS_1853_04	Essai sur la procédure canonique depuis l’établissement du christianisme jusqu’aux Décrétales	Essai sur la procédure canonique depuis l’établissement du christianisme jusqu’aux Décrétales	Grégoire	Ernest	Ernest Grégoire	026902141	1853	11-12	1	0	550				http://data.bnf.fr/ark:/12148/cb11905826z	https://catalogue.bnf.fr/ark:/12148/cb11905826z	http://wikidata.org/entity/Q34613488		
ENCPOS_1853_05	Essai sur la trêve de Dieu	Essai sur la trêve de Dieu	Gastines, De	Léonce	Léonce De Gastines	253411181	1853	13-14	1	989	1299								
ENCPOS_1853_06	Du <i>Mundium</i>	Du Mundium	Giraud	Alfred	Alfred Giraud	156554208	1853	15-16	1	100	750								
ENCPOS_1853_PREV		pages liminaires					1853	0-2											
ENCPOS_1854_01	Recherches historiques sur la maison de Saint-Lazare de Paris	Recherches historiques sur la maison de Saint-Lazare de Paris	Boullé	Jules	Jules Boullé	25341119X	1854	3-4	1	500	1850								
ENCPOS_1854_02	Du pouvoir législatif en France	Du pouvoir législatif en France	Casati	Charles	Charles Casati	057122490	1854	5-7	1	500	1850				http://data.bnf.fr/ark:/12148/cb12992713m	https://catalogue.bnf.fr/ark:/12148/cb12992713m	http://wikidata.org/entity/Q34337464		
ENCPOS_1854_03	Essai sur la géographie territoriale et politique de l’Auvergne aux <small>IX</small><sup>e</sup> et <small>X</small><sup>e</sup> siècles	Essai sur la géographie territoriale et politique de l’Auvergne aux ixe et xe siècles	Chassaing	Jean-Baptiste-François-Augustin	Jean-Baptiste-François-Augustin Chassaing	253411203	1854	9-12	1	800	999								
ENCPOS_1854_04	Étude sur les mots à multiples formes dans la langue française	Étude sur les mots à multiples formes dans la langue française	Gros-Burdet	Jean-Édouard	Jean-Édouard Gros-Burdet	242854818	1854	13-15	1	800	1850								
ENCPOS_1854_05	De l’institution des baillis sous saint Louis et sous Philippe III d’après les <i>Olim</i> (1254-1285)	De l’institution des baillis sous saint Louis et sous Philippe III d’après les Olim (1254-1285)	Laborde	Théodore	Théodore Laborde	253411211	1854	17-19	1	1254	1285								
ENCPOS_1854_06	Essai sur l’état des personnes en Angleterre au <small>XI</small><sup>e</sup> siècle à la suite de la conquête normande, d’après les documents originaux et principalement le <i>Domesday-Book,</i> précédé de l’histoire de ce livre	Essai sur l’état des personnes en Angleterre au xie siècle à la suite de la conquête normande, d’après les documents originaux et principalement le Domesday-Book précédé de l’histoire de ce livre	Lacour	Louis	Louis Lacour	026956497	1854	21-22	1	1066	1099				http://data.bnf.fr/ark:/12148/cb119103048	https://catalogue.bnf.fr/ark:/12148/cb119103048	http://wikidata.org/entity/Q3262419	http://fr.wikipedia.org/wiki/Louis_Lacour	
ENCPOS_1854_07	Des sépultures chrétiennes en France du <small>XI</small><sup>e</sup> au <small>XVI</small><sup>e</sup> siècle	Des sépultures chrétiennes en France du xie au xvie siècle	Murcier	Arthur	Arthur Murcier	165057203	1854	23-26	1	1000	1599								
ENCPOS_1854_08	Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613	Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613	Rocquain De Courtemblay	Félix	Félix Rocquain De Courtemblay	034080872	1854	27-28	1	-50	613				http://data.bnf.fr/ark:/12148/cb12487327b	https://catalogue.bnf.fr/ark:/12148/cb12487327b	http://wikidata.org/entity/Q3092592	http://fr.wikipedia.org/wiki/F%C3%A9lix_Rocquain	
ENCPOS_1854_09	De l’administration des communes au nord de la France vers 1260	De l’administration des communes au nord de la France vers 1260	Servois	Gustave	Gustave Servois	034770526	1854	29-30	1	1250	1270				http://data.bnf.fr/ark:/12148/cb12548990b	https://catalogue.bnf.fr/ark:/12148/cb12548990b	http://wikidata.org/entity/Q1456238		
ENCPOS_1854_PREV		pages liminaires					1854	0-2											
ENCPOS_1855_01	De l’aveu de la partie et de la preuve testimoniale sous la première race	De l’aveu de la partie et de la preuve testimoniale sous la première race	Barberaud	Guillaume-Charles	Guillaume-Charles Barberaud	244346410	1855	3-5	1	496	750								
ENCPOS_1855_02	Essais sur l’origine de la commune de Besançon	Essais sur l’origine de la commune de Besançon	Castan	Auguste	Auguste Castan	026771152	1855	7-11	1	-500	1499				http://data.bnf.fr/ark:/12148/cb11895463r	https://catalogue.bnf.fr/ark:/12148/cb11895463r	http://wikidata.org/entity/Q766823	http://fr.wikipedia.org/wiki/Auguste_Castan	
ENCPOS_1855_03	Rivalité des évêques et des comtes dans la province ecclésiastique de Sens, depuis le <small>X</small><sup>e</sup> jusqu’au <small>XIII</small><sup>e</sup> siècle	Rivalité des évêques et des comtes dans la province ecclésiastique de Sens, depuis le xe jusqu’au xiiie siècle	Delore	Félix Éloi	Félix Éloi Delore	24434678X	1855	13-14	1	900	1299								
ENCPOS_1855_04	Essai sur la poésie liturgique au Moyen Âge : proses, tropes, offices rimés, suivi d’une histoire de la versification latine à la même époque	Essai sur la poésie liturgique au Moyen Âge : proses, tropes, offices rimés, suivi d’une histoire de la versification latine à la même époque	Gautier	Émile-Léon	Émile-Léon Gautier	029659434	1855	15-22	1	500	1499				http://data.bnf.fr/ark:/12148/cb121237073	https://catalogue.bnf.fr/ark:/12148/cb121237073	http://wikidata.org/entity/Q286485	http://fr.wikipedia.org/wiki/L%C3%A9on_Gautier	http://dbpedia.org/resource/Léon_Gautier
ENCPOS_1855_05	De l’état du commerce et de l’industrie à Amiens du <small>XII</small><sup>e</sup> au <small>XVI</small><sup>e</sup> siècle	De l’état du commerce et de l’industrie à Amiens du xiie au xvie siècle	Hiélard	Charles-Léon	Charles-Léon Hiélard	244347581	1855	23-26	1	1100	1599								
ENCPOS_1855_06	Du commerce des marchands et usuriers lombards en France jusqu’à la fin du règne de Charles VI	Du commerce des marchands et usuriers lombards en France jusqu’à la fin du règne de Charles VI	Junca	Marie-Joseph-Étienne	Marie-Joseph-Étienne Junca	25341122X	1855	27-29	1	1000	1422								
ENCPOS_1855_07	Géographie historique des bords du Rhône	Géographie historique des bords du Rhône	Paradis	Auguste	Auguste Paradis	160309417	1855	31-34	1	-500	1855								
ENCPOS_1855_08	Office de l’amiral en France du <small>XIII</small><sup>e</sup> au <small>XVII</small><sup>e</sup> siècle	Office de l’amiral en France du xiiie au xviie siècle	Rosenzweig	Louis	Louis Rosenzweig	032899092	1855	33-38	1	1200	1699				http://data.bnf.fr/ark:/12148/cb123839344	https://catalogue.bnf.fr/ark:/12148/cb123839344	http://wikidata.org/entity/Q34340872		
ENCPOS_1855_PREV		pages liminaires					1855	0-2											
ENCPOS_1856_01	Recherches sur les divisions politiques de la Gaule au <small>VI</small><sup>e</sup> siècle	Recherches sur les divisions politiques de la Gaule au vie siècle	Baillet	Théophile	Théophile Baillet	035356480	1856	3-8	1	500	599				http://data.bnf.fr/ark:/12148/cb134803013	https://catalogue.bnf.fr/ark:/12148/cb134803013	http://wikidata.org/entity/Q34474200		
ENCPOS_1856_02	Monographie de l’orgue	Monographie de l’orgue	Bertrand	Jean-Édouard	Jean-Édouard Bertrand	104824417	1856	9-10	1	500	1850								
ENCPOS_1856_03	Essai sur le consulat de la mer	Essai sur le consulat de la mer	Blancard	Louis	Louis Blancard	026731177	1856	11-12	1	1099	1499				http://data.bnf.fr/ark:/12148/cb11892245j	https://catalogue.bnf.fr/ark:/12148/cb11892245j	http://wikidata.org/entity/Q18578072	http://fr.wikipedia.org/wiki/Louis_Blancard	http://dbpedia.org/resource/Louis_Blancard
ENCPOS_1856_04	Recherches sur le droit de grâce dans la monarchie française et particulièrement sous les rois de la troisième race	Recherches sur le droit de grâce dans la monarchie française et particulièrement sous les rois de la troisième race	Croset	Ernest	Ernest Croset	248196219	1856	13-14	1	987	1499								
ENCPOS_1856_05	Du symbolisme dans la poésie liturgique	Du symbolisme dans la poésie liturgique	Desjardins	Gustave	Gustave Desjardins	033580804	1856	15-18	1	500	1499				http://data.bnf.fr/ark:/12148/cb12994682n	https://catalogue.bnf.fr/ark:/12148/cb12994682n	http://wikidata.org/entity/Q34476043		
ENCPOS_1856_06	Essai sur les causes de la dépopulation de la Dombes et l’origine de ses étangs	Essai sur les causes de la dépopulation de la Dombes et l’origine de ses étangs	Guigue	Claude	Claude Guigue	02690800X	1856	19-21		500	1850								
ENCPOS_1856_07	Christine de Pisan : sa vie et ses œuvres	Christine de Pisan : sa vie et ses œuvres	Pougin	Paul	Paul Pougin	034769250	1856	23-25	1	1364	1430				http://data.bnf.fr/ark:/12148/cb13164227j	https://catalogue.bnf.fr/ark:/12148/cb13164227j	http://wikidata.org/entity/Q34476401		
ENCPOS_1856_08	Le Collège de Sorbonne, son fondateur, ses origines, sa constitution (de l’an 1250 jusqu’à l’époque de la restauration du collège sous le cardinal de Richelieu)	Le Collège de Sorbonne, son fondateur, ses origines, sa constitution (de l’an 1250 jusqu’à l’époque de la restauration du collège sous le cardinal de Richelieu)	Régnier	abbé Louis	abbé Louis Régnier	253411386	1856	27-28	1	1250	1699								
ENCPOS_1856_09	Essai sur les poésies de Gautier de Coincy, grand prieur de l’abbaye de Saint-Médard de Soissons	Essai sur les poésies de Gautier de Coincy, grand prieur de l’abbaye de Saint-Médard de Soissons	Soehnée	Wilhelm	Wilhelm Soehnée	253411238	1856	29-30	1	1178	1236								
ENCPOS_1856_PREV		pages liminaires					1856	0-2											
ENCPOS_1857_01	Étude sur l’histoire de l’agriculture au temps des Francs : maison rustique mérovingienne	Étude sur l’histoire de l’agriculture au temps des Francs : maison rustique mérovingienne	Bauquier	Charles	Charles Bauquier	253411246	1857	3-4	1	500	750								
ENCPOS_1857_02	Essai sur les clercs notaires et secrétaires du roi depuis leur établissement jusqu’en 1483, précédé d’une notice sur les <i>Referendarii, Cancellarii</i> et <i>Notarii</i> sous les deux premières races, et sous la troisième jusqu’à Philippe IV	Essai sur les clercs notaires et secrétaires du roi depuis leur établissement jusqu’en 1483, précédé d’une notice sur les referendarii, Cancellarii et Notarii sous les deux premières races, et sous la troisième jusqu’à Philippe IV	Campardon	Louis-Émile	Louis-Émile Campardon	026764296	1857	5-7	1	1000	1483				http://data.bnf.fr/ark:/12148/cb118949616	https://catalogue.bnf.fr/ark:/12148/cb118949616	http://wikidata.org/entity/Q1960293	http://fr.wikipedia.org/wiki/%C3%89mile_Campardon	http://dbpedia.org/resource/Émile_Campardon
ENCPOS_1857_03	Le Conseil du roi au <small>XIV</small><sup>e</sup> siècle	Le Conseil du roi au xive siècle	L’épinois, De	Henri	Henri de L’épinois	032563655	1857	9-10	1	1300	1399				http://data.bnf.fr/ark:/12148/cb13750069s	https://catalogue.bnf.fr/ark:/12148/cb13750069s	http://wikidata.org/entity/Q3132284	http://fr.wikipedia.org/wiki/Henri_de_L%27%C3%89pinois	
ENCPOS_1857_04	Des cours colongères en Alsace	Des cours colongères en Alsace	Kroeber	Auguste	Auguste Kroeber	248200224	1857	11-12	1	500	1850								
